lineID|day|pid|adFlag|availability|competitorPrice|click|basket|order|price|revenue
1|1|6570|0|2|14.60|1|0|0|16.89|0
2|1|14922|1|1|8.57|0|1|0|8.75|0
3|1|16382|0|1|14.77|0|1|0|16.06|0
4|1|1145|1|1|6.59|0|0|1|6.55|6.55
5|1|3394|0|1|4.39|0|0|1|4.14|4.14
6|1|3661|0|1|13.66|0|0|1|10.03|10.03
7|1|3856|1|1|3.03|0|0|1|3.58|3.58
8|1|16963|0|1|8.78|1|0|0|8.75|0
9|1|14560|0|1|10.84|1|0|0|12.04|0
10|1|4853|1|1|9.12|1|0|0|8.75|0
11|1|14921|1|1|3.95|0|1|0|4.35|0
12|1|4055|1|1|10.99|1|0|0|10.95|0
13|1|14010|0|1|19.79|0|0|1|19.71|19.71
14|1|18558|0|1|18.08|0|0|1|19.15|19.15
15|1|21983|0|1||0|0|1|54.95|54.95
16|1|5567|1|1|23.41|1|0|0|26.35|0
17|1|13156|0|1|4.12|0|1|0|5.33|0
18|1|5355|0|2|5.95|0|1|0|8.09|0
19|1|3254|0|1|1.08|0|1|0|1.30|0
20|1|13607|0|1|14.78|1|0|0|11.20|0
21|1|12563|0|1|30.68|0|1|0|30.75|0
22|1|19205|0|1|3.87|0|1|0|3.05|0
23|1|18345|0|1|9.34|1|0|0|13.18|0
24|1|12512|0|1|4.27|1|0|0|3.58|0
25|1|2655|1|1|13.74|0|1|0|15.35|0
26|1|3121|0|1|8.32|0|0|1|9.04|9.04
27|1|8780|0|1|5.82|0|0|1|6.00|6
28|1|9459|0|1|3.26|0|0|1|4.02|4.02
29|1|19797|1|1|24.18|0|0|1|26.35|79.05
30|1|13608|0|1|11.37|0|1|0|8.87|0
31|1|768|0|1|3.45|0|1|0|3.25|0
32|1|15593|0|2|20.72|1|0|0|20.30|0
33|1|16644|0|2|18.17|1|0|0|17.89|0
34|1|5564|1|1|27.43|0|1|0|30.75|0
35|1|6833|0|1|9.23|0|1|0|9.62|0
36|1|2655|1|1|13.74|0|1|0|15.35|0
37|1|12639|0|2|5.58|1|0|0|6.11|0
38|1|777|0|1|2.96|0|1|0|3.25|0
39|1|1652|0|1|39.91|0|1|0|37.35|0
40|1|10204|0|1|4.50|0|1|0|5.72|0
41|1|1656|1|1|14.59|1|0|0|17.55|0
42|1|781|0|1|3.29|0|1|0|4.38|0
43|1|14280|1|1|12.14|0|1|0|14.25|0
44|1|6436|0|1|9.88|0|1|0|13.18|0
45|1|13156|0|1|4.12|0|1|0|5.33|0
46|1|12480|0|2|20.61|1|0|0|21.07|0
47|1|14120|0|1|3.29|1|0|0|3.25|0
48|1|10038|0|1|51.78|1|0|0|58.25|0
49|1|1247|1|1|7.69|0|0|1|8.20|16.4
50|1|3157|1|1|7.24|0|0|1|7.65|7.65
51|1|7403|1|1|4.38|0|0|1|4.68|4.68
52|1|7738|0|1|5.18|0|0|1|7.65|7.65
53|1|8181|0|1|10.03|0|0|1|8.75|8.75
54|1|8977|0|1|2.08|0|0|1|2.15|2.15
55|1|9259|0|1|2.63|0|0|1|2.37|2.37
56|1|19955|1|1|6.40|0|0|1|7.65|7.65
57|1|4276|0|1|6.92|0|0|1|9.11|9.11
58|1|6939|0|1|13.16|0|0|1|15.21|15.21
59|1|12504|0|1|14.51|0|0|1|14.25|14.25
60|1|17849|1|1|24.04|0|0|1|28.55|28.55
61|1|18567|1|1|7.63|0|0|1|8.20|8.2
62|1|16036|0|1|6.48|0|1|0|8.75|0
63|1|2655|1|1|13.74|0|1|0|15.35|0
64|1|19317|0|1||0|1|0|3.82|0
65|1|9482|0|1||1|0|0|3.34|0
66|1|21253|0|1|7.77|0|1|0|6.55|0
67|1|7403|1|1|4.38|1|0|0|4.68|0
68|1|1248|1|1|13.51|1|0|0|16.45|0
69|1|2136|0|1|8.56|0|0|1|7.65|7.65
70|1|2655|1|1|13.74|0|1|0|15.35|0
71|1|19761|0|1|3.09|1|0|0|3.45|0
72|1|6043|0|2|23.20|0|0|1|29.16|29.16
73|1|13608|0|1|11.37|0|0|1|8.87|8.87
74|1|20148|0|1|29.59|0|0|1|30.69|30.69
75|1|11721|0|1|6.99|1|0|0|8.09|0
76|1|18833|0|1|7.80|0|1|0|7.65|0
77|1|4902|0|1|3.56|0|1|0|3.03|0
78|1|2238|0|3|10.88|1|0|0|15.04|0
79|1|1098|0|1|58.30|0|1|0|58.30|0
80|1|20588|0|1|9.04|1|0|0|10.08|0
81|1|12875|0|1|13.16|0|0|1|13.14|13.14
82|1|9259|0|1|2.63|1|0|0|2.37|0
83|1|19949|0|2||1|0|0|14.19|0
84|1|17210|0|1|5.65|1|0|0|6.91|0
85|1|5739|0|1|3.28|1|0|0|3.25|0
86|1|13156|0|1|4.12|0|1|0|5.33|0
87|1|3725|1|1|53.00|0|0|1|54.95|54.95
88|1|5784|1|1|15.39|0|0|1|16.45|16.45
89|1|11569|1|1|10.21|0|0|1|10.95|10.95
90|1|16088|0|1|10.43|0|0|1|12.04|12.04
91|1|16099|0|1|15.93|0|0|1|17.55|17.55
92|1|10336|0|1|5.49|0|1|0|6.00|0
93|1|442|1|1|13.73|1|0|0|14.25|0
94|1|2513|0|1|3.38|1|0|0|3.76|0
95|1|8759|0|1|8.25|1|0|0|5.48|0
96|1|14087|1|1|12.03|0|0|1|14.25|28.5
97|1|14675|0|1|27.93|1|0|0|36.40|0
98|1|14199|0|1|4.33|1|0|0|5.70|0
99|1|4256|0|1|12.58|0|1|0|12.04|0
100|1|4232|0|1||0|1|0|7.65|0
101|1|2655|1|1|13.74|0|1|0|15.35|0
102|1|3095|0|1|20.25|1|0|0|15.50|0
103|1|12380|1|1|5.27|1|0|0|6.55|0
104|1|768|0|1|3.45|0|0|1|3.25|3.25
105|1|777|0|1|2.96|0|0|1|3.25|3.25
106|1|781|0|1|3.29|0|0|1|4.38|4.38
107|1|6436|0|1|9.88|0|0|1|13.18|13.18
108|1|13475|1|1|12.90|0|0|1|13.14|26.28
109|1|4838|1|1|2.19|1|0|0|3.03|0
110|1|14972|1|1|3.37|1|0|0|2.48|0
111|1|12013|0|1|48.35|0|1|0|54.19|0
